Movie_Name,Genre,Ratings,Duration,Voting_counts
A Sloth Story,Adventure,5.6,90.0,300.0
Autumn and the Black Jaguar,Adventure,5.7,100.0,1100.0
Thelma the Unicorn,Adventure,5.7,93.0,3100.0
Captain Miller,Adventure,7.2,157.0,14000.0
Sixty Minutes,Adventure,5.7,88.0,5400.0
Unspeakable: Beyond the Wall of Sleep,Adventure,3.8,90.0,152.0
My Oni Girl,Adventure,6.0,112.0,2000.0
This Too Shall Pass,Adventure,8.0,105.0,23.0
Mobile Suit Gundam SEED Freedom,Adventure,6.6,124.0,1000.0
The Storm,Adventure,6.1,102.0,149.0
Son's Will,Adventure,7.4,148.0,1100.0
The Keepers of the 5 Kingdoms,Adventure,4.1,109.0,239.0
Five Friends,Adventure,6.7,112.0,1000.0
Sam and Colby: The Legends of the Paranormal,Adventure,4.8,98.0,321.0
Rally Caps,Adventure,5.5,100.0,152.0
Chuck Billy and the Marvelous Guava Tree,Adventure,7.4,90.0,1300.0
Diplodocus,Adventure,6.2,93.0,222.0
Planetquake,Adventure,3.0,85.0,335.0
At Her Feet,Adventure,7.6,100.0,76.0
Alpha.,Adventure,6.8,100.0,306.0
Kvitebjørn,Adventure,5.8,85.0,99.0
The Waves of Madness,Adventure,5.2,68.0,133.0
Roadkill,Adventure,3.7,90.0,712.0
Daye: Seret ahl el Daye,Adventure,7.7,104.0,21.0
Poklad,Adventure,4.4,100.0,56.0
Overlord: The Sacred Kingdom,Adventure,6.8,135.0,1700.0
The Price of Money: A Largo Winch Adventure,Adventure,5.1,100.0,1400.0
Empire Queen: The Golden Age of Magic,Adventure,3.3,148.0,316.0
Thangalaan,Adventure,6.5,156.0,6900.0
The Mountain,Adventure,6.4,89.0,249.0
No Chains No Masters,Adventure,6.3,98.0,736.0
The Twisters,Adventure,2.6,86.0,491.0
Its Name Was Mormo,Adventure,3.7,93.0,207.0
Operation Blood Hunt,Adventure,3.4,93.0,551.0
Rebellious,Adventure,6.1,94.0,251.0
Noah's Ark,Adventure,4.2,96.0,720.0
Spiders on a Plane,Adventure,3.9,78.0,515.0
No Time to Spy: A Loud House Movie,Adventure,6.4,81.0,531.0
Bureau 749,Adventure,3.8,123.0,596.0
School of Magical Animals 3,Adventure,5.7,105.0,392.0
Man and Witch: The Dance of a Thousand Steps,Adventure,5.6,94.0,371.0
Return to Wickensburg,Adventure,4.6,88.0,98.0
The Lost Tiger,Adventure,7.3,90.0,67.0
The Kingdom,Adventure,7.0,133.0,163.0
I Hate Summer,Adventure,5.1,103.0,710.0
Bionic,Adventure,4.3,110.0,1800.0
My Freaky Family,Adventure,6.1,86.0,440.0
Witch Hunter,Adventure,3.9,80.0,48.0
Now or Never!,Adventure,2.2,135.0,17000.0
Eat the Night,Adventure,6.1,106.0,644.0
Seven Seas Seven Hills,Adventure,8.6,90.0,102.0
Earthquake Underground,Adventure,3.2,83.0,239.0
Dalia and the Red Book,Adventure,5.9,107.0,183.0
Storm Crashers,Adventure,6.1,88.0,610.0
Naa Saami Ranga,Adventure,4.5,150.0,1200.0
Gaami,Adventure,6.3,147.0,2100.0
The Casagrandes Movie,Adventure,5.6,89.0,720.0
Gladiators,Adventure,3.2,95.0,140.0
The Backrooms,Adventure,8.5,63.0,18.0
Gracie and Pedro: Pets to the Rescue,Adventure,5.0,87.0,308.0
Road Wars: Max Fury,Adventure,2.0,83.0,374.0
Big City Greens the Movie: Spacecation,Adventure,6.2,83.0,629.0
Panda Bear in Africa,Adventure,5.5,84.0,397.0
Bull Shark 3,Adventure,2.7,76.0,146.0
War of the Worlds: Extinction,Adventure,3.1,84.0,233.0
Devil's Knight,Adventure,5.3,90.0,1000.0
Guest from the Future,Adventure,6.0,141.0,1300.0
Dongeng Sang Kancil,Adventure,6.6,99.0,236.0
Vertical,Adventure,5.2,111.0,154.0
WWII: Operation Phoenix,Adventure,4.0,106.0,110.0
Taklee Genesis x Worlds Collide,Adventure,5.4,146.0,447.0
The Big Trip 3: Race Around the World,Adventure,5.5,85.0,87.0
The Forest,Adventure,5.8,77.0,56.0
Lumina,Adventure,2.2,113.0,728.0
My Fathers' Daughter,Adventure,6.4,78.0,91.0
Chhota Bheem and the Curse of Damyaan,Adventure,4.8,145.0,2300.0
Elli and Her Monster Team,Adventure,4.8,86.0,120.0
Pimpinero: Blood and Oil,Adventure,5.6,121.0,598.0
Barroz: Guardian of Treasures,Adventure,3.4,155.0,1100.0
Jurassic Triangle,Adventure,2.5,84.0,298.0
A Trip Elsewhere,Adventure,5.5,93.0,116.0
All for One,Adventure,1.5,97.0,701.0
Niko: Beyond the Northern Lights,Adventure,6.1,86.0,370.0
The Goat,Adventure,5.7,91.0,391.0
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Adventure,5.7,55.0,11.0
Going Viral,Adventure,6.8,90.0,308.0
Formed Police Unit,Adventure,4.7,120.0,1500.0
Warrior Awang and Master Tok Gajah,Adventure,4.6,118.0,488.0
Peter Brook's the Mahabharata (8K),Adventure,8.1,173.0,11.0
Shrek 5: The Contract - A Fan Made Film,Adventure,7.3,84.0,26.0
Kaizen,Adventure,7.0,160.0,804.0
Emma's Big Adventure,Adventure,5.3,106.0,149.0
Game On,Adventure,2.5,85.0,366.0
Treasure Trackers,Adventure,5.6,92.0,183.0
Appu,Adventure,8.2,92.0,204.0
Major Grom: The Game,Adventure,6.2,168.0,1900.0
Transformers Prime: Galavatron's Revenge,Adventure,4.7,104.0,21.0
Next to Us,Adventure,4.9,125.0,231.0
Un lío de millones,Adventure,5.2,91.0,316.0
Fox & Hare Save the Forest,Adventure,5.9,71.0,232.0
The Adventures of Jurassic Pet: Return to the Wild,Adventure,5.4,90.0,92.0
The Epic of Gilgamesh,Adventure,5.2,79.0,6.0
One Million Babes BC,Adventure,2.2,75.0,94.0
I Heart Robots,Adventure,4.5,76.0,2400.0
Dünya Varmis,Adventure,6.6,100.0,70.0
Dragon Ball Z Kai,Adventure,8.4,82.0,102.0
The Slave and the Sorcerer,Adventure,6.5,86.0,50.0
The Phantom Warrior,Adventure,2.4,119.0,574.0
The Star City Murders,Adventure,4.1,79.0,156.0
Buddy,Adventure,3.8,137.0,366.0
Teenz,Adventure,4.4,122.0,871.0
Rocky Road to Berlin,Adventure,7.2,104.0,1600.0
The Worlds Divide,Adventure,7.9,120.0,39.0
Oculus,Adventure,6.0,113.0,15.0
Dünya Mali: Eksi Bir,Adventure,6.8,133.0,19.0
The Dragon's Tomb,Adventure,6.7,77.0,60.0
"Maya, donne-moi un titre",Adventure,6.5,61.0,75.0
Oscar Wilde About America,Adventure,4.4,98.0,36.0
Stinky Summer,Adventure,5.2,90.0,60.0
Kiyma: Orman Kanunlari,Adventure,3.8,81.0,46.0
Z-Mom,Adventure,4.8,90.0,48.0
Ghost Island,Adventure,6.9,95.0,61.0
LasseMajas detektivbyrå - Maskoten som försvann,Adventure,6.0,90.0,74.0
The Trail,Adventure,7.8,80.0,38.0
Bremenskie muzykanty,Adventure,4.4,115.0,778.0
Trifole,Adventure,7.3,100.0,66.0
Gepack,Adventure,6.6,97.0,378.0
Permafrost,Adventure,5.7,80.0,117.0
Mong Vuot,Adventure,4.9,96.0,184.0
Marianengraben,Adventure,7.3,87.0,102.0
Memes & Nightmares,Adventure,5.7,81.0,96.0
Turma da Mônica Jovem: Reflexos do Medo,Adventure,2.8,88.0,262.0
Si Juki the Movie: Harta Pulau Monyet,Adventure,6.1,107.0,147.0
Spirit Riser,Adventure,6.1,98.0,42.0
Amazon Bullseye,Adventure,5.3,113.0,233.0
Zak & Wowo: The Legend of Lendarys,Adventure,5.7,85.0,106.0
Askepote,Adventure,3.4,72.0,90.0
Kodaikanal,Adventure,9.3,173.0,75.0
Arctic Hollow,Adventure,2.3,70.0,187.0
Mama,Adventure,8.5,100.0,7.0
The Epidemic,Adventure,5.9,95.0,72.0
Six Nine Five (695),Adventure,7.1,137.0,710.0
Fuuto PI: Portrait of Kamen Rider Skull,Adventure,7.3,82.0,58.0
Fights Break Sphere 3,Adventure,5.0,81.0,11.0
Yolki 11,Adventure,4.6,92.0,195.0
Surge of Power: Where There's Smoke,Adventure,5.6,68.0,16.0
Moy dikiy drug,Adventure,6.3,100.0,72.0
Al Leib Maa Al Eyal,Adventure,4.4,127.0,250.0
Ahl Al Kahf,Adventure,5.3,120.0,310.0
Tulang Belulang Tulang,Adventure,7.1,95.0,53.0
Stranded Pearl,Adventure,6.2,90.0,47.0
Rocky and Bullwinkle,Adventure,9.1,100.0,19.0
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Adventure,6.9,90.0,65.0
Birds Flying East,Adventure,5.8,100.0,617.0
Death Game,Adventure,6.5,88.0,29.0
Die Chaosschwestern und Pinguin Paul,Adventure,5.6,100.0,76.0
Champions of the Golden Valley,Adventure,9.2,81.0,81.0
Håkan Bråkan 2,Adventure,5.3,92.0,149.0
Benjamin Bat,Adventure,7.9,75.0,34.0
Steal the Naughty List,Adventure,4.8,90.0,132.0
The Secret of Pin-Up Island,Adventure,7.3,107.0,98.0
Güzel Bir Rüya,Adventure,4.7,79.0,50.0
Powder Pup,Adventure,5.9,89.0,87.0
Minecraft But I Survive Again in Parkour Civilization,Adventure,8.9,114.0,50.0
Captain Avispa,Adventure,5.7,96.0,183.0
Dead Dead Demon's Dededede Destruction,Adventure,7.0,120.0,149.0
Hain,Adventure,3.0,95.0,52.0
Yaren Leylek,Adventure,5.1,95.0,40.0
Igrisca ne damo!,Adventure,6.5,79.0,36.0
Dreams,Adventure,6.4,106.0,13.0
Tipppsy,Adventure,8.1,115.0,34.0
Tokusou Sentai Dekaranger 20th: Fireball Booster,Adventure,7.1,50.0,41.0
Jathara,Adventure,6.4,129.0,1100.0
Heavens: The Boy and His Robot,Adventure,7.1,98.0,35.0
Ne odna doma,Adventure,3.3,79.0,118.0
Game of Death: The Six Doors to Hell,Adventure,6.7,145.0,8.0
Kade,Adventure,6.4,92.0,19.0
The Last of Us: Immunity,Adventure,4.3,64.0,33.0
Orango,Adventure,7.3,94.0,75.0
"Silex and the City, le film",Adventure,4.9,77.0,60.0
Colour Palette,Adventure,9.4,87.0,53.0
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Adventure,5.3,74.0,12.0
Mountain Boy,Adventure,8.0,93.0,30.0
Cândido,Adventure,6.4,99.0,70.0
Dead Dead Demon's Dededede Destruction Koushou,Adventure,7.0,120.0,158.0
Triple 7: They Said It Couldn't Be Done,Adventure,8.6,97.0,15.0
Letuchiy korabl,Adventure,3.3,100.0,414.0
Bam!,Adventure,7.1,80.0,31.0
Masha and the Bear. Wonder Park,Adventure,7.2,58.0,23.0
The Bigfoot Prophecy,Adventure,4.8,117.0,23.0
The Umbrella Fairy,Adventure,5.7,95.0,63.0
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Adventure,7.3,70.0,85.0
Friendly Fire,Adventure,6.1,105.0,72.0
Dikkie Dik en de Verdwenen Knuffel,Adventure,7.2,62.0,136.0
Manyunya. Priklyucheniya v derevne,Adventure,5.7,84.0,126.0
Abudeka Is Back,Adventure,5.5,120.0,55.0
Advent,Adventure,7.5,119.0,6.0
Lo carga el diablo,Adventure,7.7,103.0,31.0
Luigi's Mansion,Adventure,5.9,60.0,20.0
Two Breaths,Adventure,8.0,18.0,56.0
Piraty galaktiki Barrakuda,Adventure,4.5,92.0,93.0
This Land of Mine,Adventure,4.5,90.0,38.0
Tur s Ivanushkami,Adventure,5.3,111.0,170.0
Samaya bolshaya luna,Adventure,2.4,105.0,146.0
Jaunt,Adventure,8.7,78.0,8.0
De Legende van Familie Vos,Adventure,5.6,81.0,61.0
Oyunda Kal: Eglence Arenasi,Adventure,2.4,92.0,42.0
Longe da Estrada,Adventure,6.0,68.0,9.0
STEVE (A Minecraft Movie),Adventure,6.9,61.0,14.0
Príncipe Lu e a Lenda do Dragão,Adventure,4.1,90.0,29.0
Tay 2: Ebabil Takimi,Adventure,4.9,78.0,46.0
Ice Maiden,Adventure,8.6,90.0,89.0
Nature Cat's Nature Movie Special Extraordinaire,Adventure,7.1,53.0,22.0
Ivan Tsarevich i Seryy Volk 6,Adventure,5.3,85.0,116.0
Mesken (Messuage),Adventure,6.8,99.0,51.0
Anytime,Adventure,8.9,62.0,26.0
Joachim and the Apocalypse,Adventure,7.7,90.0,17.0
The Blinkless,Adventure,6.4,59.0,20.0
Big Water Theory,Adventure,7.3,83.0,15.0
Satu - Year of the Rabbit,Adventure,9.0,93.0,61.0
A Christmas Carol,Adventure,9.4,39.0,14.0
Dracu Ra,Adventure,5.6,106.0,47.0
Vasilisa i khraniteli vremeni,Adventure,2.9,98.0,87.0
The Eye of the Salamander,Adventure,6.0,81.0,46.0
Manyunya. Priklyucheniya v Moskve,Adventure,5.6,87.0,117.0
Pui Pui Molcar the Movie: Molmax,Adventure,6.4,69.0,22.0
The Very Last Christmas,Adventure,8.6,75.0,12.0
Beyond existence,Adventure,4.1,95.0,23.0
Boom!,Adventure,7.9,90.0,13.0
Chernyy zamok,Adventure,5.1,115.0,67.0
Son of the Wolf,Adventure,3.7,82.0,7.0
No More Trouble - Cosa rimane di una tempesta,Adventure,8.4,97.0,23.0
Il ricercatore,Adventure,6.4,71.0,9.0
Ognivo,Adventure,5.4,105.0,263.0
Adam i Eva,Adventure,5.1,95.0,97.0
Cazatesoros,Adventure,6.5,106.0,31.0
"Fallen Leaves, Broken Lighters",Adventure,7.7,96.0,9.0
Shadows of Betrayal: Chronicles of Ian Blair,Adventure,7.3,65.0,17.0
Petualangan Anak Penangkap Hantu,Adventure,5.7,99.0,28.0
Tri bogatyrya. Ni dnya bez podviga,Adventure,5.8,61.0,93.0
The Yoshi Movie,Adventure,8.1,105.0,15.0
Wonderland,Adventure,6.8,120.0,13.0
Bar MoskvaChiki,Adventure,4.4,91.0,114.0
Suchana,Adventure,8.7,90.0,511.0
Tri kota. Zimnie kanikuly,Adventure,6.3,65.0,38.0
Operation Wakaliga: Fate and Blood,Adventure,6.7,66.0,12.0
Shanghai Story,Adventure,7.9,71.0,67.0
The Last Five Days: The Freak Building,Adventure,3.7,61.0,60.0
Hope & Glory,Adventure,6.6,44.0,153.0
Whites Only: Ade's Extremist Adventure,Adventure,6.7,65.0,30.0
Isle: Alpha One,Adventure,8.7,97.0,9.0
Troy the Bharat Putra,Adventure,5.2,134.0,34.0
Bratya,Adventure,2.8,103.0,140.0
Mobile Suit Gundam: Silver Phantom,Adventure,6.1,90.0,14.0
Moy lyubimyy chempion,Adventure,2.3,95.0,423.0
Antarctic Voyage,Adventure,7.7,48.0,12.0
Mortadella,Adventure,8.4,90.0,8.0
Baba Yaga spasaet Novyy god,Adventure,4.4,99.0,136.0
Let's Go! Anpanman: Baikinman and Lulun,Adventure,6.5,64.0,9.0
Abá e Sua Banda,Adventure,7.2,84.0,23.0
Xin Longmen kezhan,Adventure,2.9,73.0,7.0
The Ghost of Annie Lee,Adventure,4.8,103.0,5.0
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Adventure,6.5,71.0,43.0
Luccas e Gi em: Dinossauros,Adventure,3.5,91.0,28.0
Vikaasaparva,Adventure,8.4,134.0,545.0
Yao guai sen lin,Adventure,6.3,86.0,7.0
Dandelion,Adventure,8.9,95.0,9.0
Banana Boat,Adventure,5.5,78.0,24.0
Frankenstein Theater: The Magic Sword,Adventure,4.1,82.0,25.0
Pirates & Slaves,Adventure,5.8,53.0,6.0
StarGazer: The Need of the Many,Adventure,4.6,47.0,14.0
Goodbye Hamdi,Adventure,6.6,85.0,12.0
Zoloto Umalty,Adventure,4.9,109.0,116.0
Yasmeen's Element,Adventure,7.6,76.0,22.0
Nothing Unusual,Adventure,8.8,92.0,13.0
Novyy god v Beryozovke,Adventure,7.0,94.0,105.0
Famous Patrick (A Super SpongeBob Fan Movie),Adventure,9.3,53.0,29.0
QAnon Avenue,Adventure,8.7,57.0,10.0
Abar Arownne Din Ratri,Adventure,8.0,111.0,9.0
Tayna Chyornoy Ruki,Adventure,5.7,84.0,24.0
The Ballad of Straw Hat Sam,Adventure,8.5,45.0,13.0
Novogodniy ekspress,Adventure,6.8,47.0,10.0
I'm Professional,Adventure,4.6,95.0,9.0
Historia de pastores,Adventure,5.6,80.0,37.0
Applepictures the Poseidon Legacy,Adventure,6.6,84.0,20.0
Xibalba Monster,Adventure,6.7,76.0,33.0
Tracing the Divide,Adventure,8.8,84.0,174.0
Piri Reis: The Incredible Chart,Adventure,7.0,138.0,27.0
Il cammino: Viaggio in Calabria,Adventure,8.2,58.0,8.0
Ngesot,Adventure,4.8,87.0,18.0
Skazochnyy patrul. Shou prodolzhayetsya,Adventure,7.5,65.0,10.0
Sehnsucht nach Firdaws,Adventure,8.7,103.0,7.0
Devka-baba: Kukla-charodeyka,Adventure,7.9,93.0,9.0
YA - medved,Adventure,5.1,97.0,62.0
"Poymay sobaku, esli smozhesh",Adventure,3.5,96.0,39.0
Mai Martaba,Adventure,5.4,86.0,11.0
The Long Quiet,Adventure,9.4,94.0,5.0
Qianhe xiansheng,Adventure,4.4,82.0,5.0
Wilhelm Gustloff,Adventure,8.7,110.0,9.0
V potoke trekh stikhiy,Adventure,5.0,85.0,44.0
Mukhadrakon,Adventure,5.3,109.0,18.0
Suvorovets 1944,Adventure,3.5,90.0,30.0
Selebryata,Adventure,3.6,93.0,21.0
Captain Toad and the Mystery Mine,Adventure,9.0,77.0,17.0
Okhota na russkogo geniya,Adventure,5.5,71.0,13.0
Turbozavry. God drakona,Adventure,8.7,48.0,46.0
Kyle and the Last Emerald 2,Adventure,8.4,15.0,9.0
PW V: Tears of the Fallen,Adventure,8.2,60.0,10.0
Gostya iz kosmosa,Adventure,8.7,70.0,7.0
Oda: Vlucht door de Eeuwen,Adventure,6.4,102.0,7.0
Lajjpal,Adventure,9.0,252.0,8.0
Chyortov kamen,Adventure,4.0,105.0,24.0
The Kingfish 2,Adventure,7.9,72.0,12.0
SITV Presents: Tabsentia,Adventure,8.3,80.0,8.0
Beyaz Zenciler: Yapim Asamasi,Adventure,8.6,55.0,5.0
Mahavatar Narsimha,Animation,9.1,130.0,34000.0
Spermageddon,Animation,5.4,80.0,2100.0
IF,Animation,6.4,104.0,61000.0
Memoir of a Snail,Animation,7.8,95.0,21000.0
Watchmen: Chapter I,Animation,7.1,83.0,7500.0
Look Back,Animation,7.8,58.0,17000.0
The Remarkable Life of Ibelin,Animation,8.2,103.0,14000.0
Sanatorium Under the Sign of the Hourglass,Animation,5.5,75.0,153.0
Dan Da Dan: First Encounter,Animation,8.2,83.0,3300.0
Boys Go to Jupiter,Animation,7.0,90.0,205.0
The Glassworker,Animation,7.1,98.0,2100.0
Watchmen: Chapter II,Animation,7.1,90.0,3900.0
Haikyu!! The Dumpster Battle,Animation,7.7,85.0,6900.0
I Am What I Am 2,Animation,7.6,134.0,523.0
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.5,108.0,276.0
Piece by Piece,Animation,6.9,93.0,6800.0
White Snake: Afloat,Animation,6.9,133.0,640.0
Johnny Puff: Secret Mission,Animation,4.7,87.0,497.0
Sabbath Queen,Animation,7.9,105.0,72.0
Lesbian Space Princess,Animation,6.9,87.0,264.0
Mononoke the Movie: The Phantom in the Rain,Animation,6.7,89.0,1600.0
10 Lives,Animation,5.9,88.0,2200.0
Exorcism Chronicles: The Beginning,Animation,6.4,85.0,160.0
Blue Lock: Episode Nagi,Animation,6.6,91.0,2800.0
Given 3: To the Sea,Animation,7.6,80.0,217.0
Frida,Animation,7.5,87.0,1600.0
The Most Precious of Cargoes,Animation,7.1,81.0,1700.0
Slocum et moi,Animation,6.9,75.0,118.0
Mars,Animation,6.8,84.0,36.0
From Ground Zero,Animation,7.9,112.0,600.0
Detective Conan: The Million-Dollar Pentagram,Animation,6.7,111.0,1700.0
The Colors Within,Animation,7.1,101.0,1300.0
The Night Before Christmas in Wonderland,Animation,6.3,80.0,536.0
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.8,90.0,1400.0
Ghost Cat Anzu,Animation,6.5,97.0,936.0
Given the Movie: Hiiragi Mix,Animation,7.6,70.0,297.0
Super-Charlie,Animation,5.7,82.0,237.0
Angelo dans la forêt mystérieuse,Animation,6.0,81.0,167.0
Ryan's World the Movie: Titan Universe Adventure,Animation,1.8,80.0,773.0
Grand Theft Hamlet,Animation,6.9,89.0,2300.0
Savages,Animation,6.8,87.0,513.0
Baki Hanma VS Kengan Ashura,Animation,5.7,62.0,2100.0
A Few Moments of Cheers,Animation,7.1,68.0,65.0
Hola Frida,Animation,6.8,82.0,76.0
Into the Mortal World,Animation,7.0,118.0,262.0
Rafadan Tayfa: Kapadokya,Animation,6.4,84.0,153.0
Out of the Nest,Animation,6.4,84.0,144.0
"Die Heinzels: Neue Mützen, Neue Mission",Animation,6.0,76.0,119.0
Fureru,Animation,6.2,107.0,78.0
The Quintessential Quintuplets Specials 2,Animation,6.8,46.0,209.0
God with Three Eyes,Animation,5.8,112.0,36.0
The Proud Princess,Animation,6.3,84.0,166.0
Living Large,Animation,6.9,80.0,205.0
Inanimate Insanity II: The Movie,Animation,8.3,106.0,271.0
Norbert,Animation,6.7,75.0,20.0
SuperKlaus,Animation,4.3,88.0,220.0
Among Neighbors,Animation,9.6,100.0,54.0
Boonie Bears: Time Twist,Animation,5.9,105.0,187.0
Peppa's Cinema Party,Animation,4.9,65.0,160.0
